sku,title,family,role,technologyType,expectedTechnologyType,productRole,catalogVisibility,primaryCategory,category,subCategory,productType,subClassifications,profileFeatureCount,profilePortCount,officialPageStatus,correctionSource,issues
EX-80-KVM,WyreStorm Essentials 80m KVM UTP Extender - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,power-accessory,request-only,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,8,11,200,product-manager-profile:wyrestorm-product-manager-v1,
EX3-100-EARC,WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,13,10,200,product-manager-profile:wyrestorm-product-manager-v1,
EXA-100-EARC,WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,9,13,200,product-manager-profile:wyrestorm-product-manager-v1,
EXF-10KM-5K,5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,10,11,200,product-manager-profile:wyrestorm-product-manager-v1,
EXF-300-H2,WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,10,8,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-4KUHD-X,4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,6,1,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-8KUHD-X,8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,10,1,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-CON-AUD-H2,WyreStorm Essentials™ HDMI Audio Extractor| WyreStorm,Unclassified,Product,Audio / Control,Audio / Control,system-controller,conditional-default,Control,Signal management,Audio extraction / conversion,Inline signal utility,signal-utility|audio-conversion,3,0,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-CON-DAC,WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm,Unclassified,Product,Audio / Control,Audio / Control,system-controller,conditional-default,Control,Signal management,Audio extraction / conversion,Inline signal utility,signal-utility|audio-conversion,1,0,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-CON-DAC-D,WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm,Unclassified,Product,Audio / Control,Audio / Control,system-controller,conditional-default,Control,Signal management,Audio extraction / conversion,Inline signal utility,signal-utility|audio-conversion,1,0,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-CON-H2-DD,WyreStorm Essentials? Dolby? & DTS? 7.1 Downmixer| WyreStorm,Unclassified,Product,Audio / Control,Audio / Control,system-controller,conditional-default,Control,Signal management,Audio extraction / conversion,Inline signal utility,signal-utility|audio-conversion,1,0,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-HDMI-10.0M,10 Meter High Speed HDMI Cable | WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,1,2,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-HDMI-15.0M,WyreStorm Essentials? 15 Meter High Speed HDMI Cable| WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,1,2,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-HDMI-CPL,WyreStorm Essentials HDMI Coupler - WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,7,1,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-HDMI-DVI,WyreStorm Essentials DVI to HDMI - WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,3,1,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-HDMI-H2-0.5M,HDMI Cable with CL3 Rating (0.5m/1.6ft)| WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,4,0,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-HDMI-H2-1M,HDMI Cable with CL3 Rating (1m/3.2ft)| WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,2,0,200,product-manager-profile:wyrestorm-product-manager-v1,
EXP-HDMI-H2-2M,HDMI Cable with CL3 Rating (2m/6.5ft)| WyreStorm,Cable,Cable / active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Passive cable,Cable,cable,4,0,200,product-manager-profile:wyrestorm-product-manager-v1,
