sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"AMP-2120-DNT","Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm","Audio / Control","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"AMP-260-DNT","Advanced 2 or 4 Channel Dante Amplifier - WyreStorm","Audio / Control","Amplifier","Audio amplifier","Audio","high","AMP SKU or amplifier naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-100-UC","Apollo Series Conference Speakerphone - WyreStorm","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-200-UC","Apollo Series Conference Speakerphone & Switcher - WyreStorm","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-COM-MIC","Add-On Microphone for Apollo Video Bar - WyreStorm","Unified Comms","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG-DOCK","Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm","Unified Comms","Apollo","Presentation / UC product","Presentation / UC","high","APO SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG-HDMI","HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm","Unified Comms","Apollo","Presentation / UC product","Presentation / UC","high","APO SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG2","Apollo USB-C Wireless Casting Dongle - WyreStorm","Unified Comms","Apollo","Presentation / UC product","Presentation / UC","high","APO SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG2-PRO","Apollo USB-C Wireless Casting Dongle - WyreStorm","Unified Comms","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-MIC-EXT","USB Extender for Apollo Add-On Mic - WyreStorm","Unified Comms","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-SKY-MIC","Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm","Unified Comms","Apollo","Microphone / UC audio accessory","Audio / UC","high","Microphone / UC audio naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-VX20-MNT","Display Mount for Apollo VX20 Video Bars - WyreStorm","Accessory","Apollo","Presentation / UC product","Presentation / UC","high","APO SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-VX20-UC-V2","Video Bar for Conference Rooms: Advanced Meeting Solution","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-DAOC-10-C","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-DAOC-10-P","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-15-C","Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-15-P","24Gbps 4-core Active Optical HDMI Cable | WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-20","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-20-C","Active Optical HDMI Cable | 4K HDR| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-20-P","Active Optical HDMI Cable | Plenum & FT6 Rated| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-30-C","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-30-P","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-FRL-XX","8K HDMI Cable - CAB‑HAOC‑FRL‑XX HDMI 2.1 Bandwidth 48Gbps | WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-XX","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-XX-C","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-HAOC-XX-P","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-IR-LINK","IR Link Cable for Control System Integration - WyreStorm","Cable","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-UAOC-15-C","15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-UAOC-15-P","15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-UAOC-USBC-10","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAB-USBC-15","USB-C Active Optical Cable (15m/49ft) - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAM-0402-BRG","4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAM-0402-NDI-BRG","4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAM-200-PTZ","1080p HD PTZ Conference Camera with USB 3.0 & Network Output - WyreStorm","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAM-210-NDI-PTZ","CAM-210-NDI-PTZ 1080p60 Camera with with USB 3.0 - Pro AV & Streaming - WyreStorm","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAM-210-PTZ","PTZ Camera with AI Tracking | CAM-210-PTZ 1080p – WyreStorm","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CAM-420-PTZ","4K Dual-Lens AI PTZ Camera with AI features - WyreStorm","Camera / Capture","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"COM-MIC-HUB","Microphone Hub - WyreStorm","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"COMPANIONCONTROL","Companion Control App for NetworkHD 100, 400, 500 & 600 Series - WyreStorm","Audio / Control","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CON-H2-DD-EARC","4K/60 In-line HDMI Scaler with DSP-Controlled Audio Breakout, Dolby TrueHD & DTS-HD Downmixing and eARC Output - WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CON-H2-EDID","4K60 In-line Signal Re-Clocker with EDID Management - WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"CON-H2-SCL","4K60 In-Line HDMI Scaler with Audio Breakout - WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-G2","4K HDBaseT Extender Set with Bi-directional PoC, IR, RS-232, and EDID Support - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-H2","100m 4K HDBaseT Extender with USB - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-H2-EARC","100m 4K60 AVX Extender with eARC - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-IW-USBC","100m USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-KVM","WyreStorm EX-100-KVM 4K HDMI & USB KVM Extender over HDBaseT","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-KVM-8K","100m HDMI 2.1 8K HDBaseT Extender with RS-232 Passthrough, Audio De-embed and USB 2.0 Extension - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-KVM-IP","4K 30Hz KVM Extender over IP | EX-100-KVM-IP - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-100-USB3","USB 3.0 Extender | EX-100-USB3 Gen 1 Standard - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-35-8K","35m HDMI 2.1 8K HDBaseT Extender with IR/RS-232 Passthrough, Audio De-embed, and Bi-directional PoH - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-35-H2","35m 4K60 HDBaseT Extender - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-35-H2-ARC","ARC HDMI Extender - EX-35-H2-ARC 18Gbps 4K HDR HDBaseT Extender - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-40-G3","40m 1080p UTP Extender - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-40-H2-ARC","40m 4K HDBaseT Extender with ARC and Audio Breakout - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-40-KVM-5K","5K30Hz HDBT 3.0 Box to Box Extender Kit - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-60-USB2","EX-60-USB2 USB 2.0 Extender over Cat6 with 4-Port Hub","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-70-G2","EX-70-G2 4K HDBaseT Extender Set with HDCP 2.2 & 2-way PoH - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-70-H2","4K HDBaseT Extender – High-Quality Video and Audio Transmission","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-70-H2C","EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX-70-H2X","70m 4K60 HDBaseT Extender with Ethernet - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EX3-100-EARC","WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXA-100-EARC","WyreStorm EXA-100-EARC eARC Audio Extender over Cat Cable","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXF-10KM-5K","5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXF-300-H2","WyreStorm EXF-300-H2 4K HDMI Fiber Extender | Long-Range AV over Fiber","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-4KUHD-X","4K HDR 4:4:4 60Hz HDMI Cable with VW-1 Rating - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-8KUHD-X","8K 60Hz HDMI 2.1 Cable with VW-1 Rating - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CAB-HAOC-2","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CAB-HAOC-4","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CAB-HAOC-6","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CAB-HAOC-8","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CAB-USBC-5M","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CAB-USBC-XM","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CON-AUD-H2","WyreStorm Essentials™ HDMI Audio Extractor| WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CON-DAC","WyreStorm Essentials? Digital to Analog Audio Converter| WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CON-DAC-D","WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CON-H2-DD","WyreStorm Essentials? Dolby? & DTS? 7.1 Downmixer| WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-EX-35-G2","WyreStorm Essentials? 35m 4K60 UTP Extender| WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-EX-80-KVM","WyreStorm Essentials 80m KVM UTP Extender - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-10.0M","10 Meter High Speed HDMI Cable | WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-15.0M","WyreStorm Essentials? 15 Meter High Speed HDMI Cable| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-CPL","WyreStorm Essentials HDMI Coupler - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-DVI","WyreStorm Essentials DVI to HDMI - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-H2-0.5M","HDMI Cable with CL3 Rating (0.5m/1.6ft)| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-H2-1M","HDMI Cable with CL3 Rating (1m/3.2ft)| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-H2-2M","HDMI Cable with CL3 Rating (2m/6.5ft)| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-H2-3M","HDMI Cable with CL3 Rating (3m/9.8ft)| WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-H2-5M","HDMI Cable with CL3 Rating | WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-RTA","WyreStorm Essentials Right Angle HDMI Adapter - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-USBC","WyreStorm Essentials USB-C to HDMI - WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-VGA","HDMI VGA Extender Essentials VGA to HDMI | WyreStorm","Cable","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-HDMI-XM-8K","WyreStorm EXP‑HDMI‑XM‑8K 8K HDMI Cable – Ultra‑High Speed HDMI 2.1","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-MX-0402-H2","WyreStorm Essentials 4K60 4x2 HDMI Matrix Switcher - WyreStorm","Matrix Switcher","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-MX-0404-H2","WyreStorm Essentials 4 Input and 4 Scaling Output 4K HDR HDMI Matrix Switcher W/ Digital S/PDIF Audio De-Embed - WyreStorm","Matrix Switcher","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-MX-0808-KIT","4K 8x8 HDBaseT Matrix with Receivers - WyreStorm","Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SP-0102-8K","WyreStorm Essentials 8K60 1:2 HDMI Splitter - WyreStorm","Splitter / Distribution","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SP-0102-H2","WyreStorm Essentials 4K60 1:2 Scaling HDMI Splitter - WyreStorm","Splitter / Distribution","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SP-0104-H2","WyreStorm Essentials 4K60 1:4 Scaling HDMI Splitter - WyreStorm","Splitter / Distribution","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0401-H2","WyreStorm Essentials 4K60 4x1 HDMI Switcher - WyreStorm","Presentation / Room Core","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-SW-0X01-8K","WyreStorm Essentials 8K60 HDMI Switcher - WyreStorm","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"FOCUS-100","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
