sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"MX-1616-SCL","16 Slot - 4K60Hz 4:4:4 Seamless Empty Custom Matrix Chassis","Matrix Switcher","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
"MXV-0404-H2A-KIT","4K60Hz 4:4:4 4x4 HDBaseT TM Matrix","","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MXV-0404-H2A-KIT","4K60Hz 4:4:4 4x4 HDBaseT TM Matrix","Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MXV-0808-H2A-70-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MXV-0808-H2A-70-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MXV-0808-H2A-KIT","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix Kit w/ 6 standard receivers & 2 Scaling receivers","","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MXV-0808-H2A-KIT","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix Kit w/ 6 standard receivers & 2 Scaling receivers","Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MXV-0808-H2A-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MXV-0808-H2A-V3","4K60Hz 4:4:4 8x8 HDBaseT TM Matrix","Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"NETWORKHD TOUCH TM","Free iPad & Android Control App for NetworkHD 100, 200 & 400 Series","","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NETWORKHD TOUCH TM","Free iPad & Android Control App for NetworkHD 100, 200 & 400 Series","Audio / Control","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-000-RACK4","6U/12 Slot Rack Mount for all NetworkHD Series","","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-000-RACK4","6U/12 Slot Rack Mount for all NetworkHD Series","Accessory","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-0401-MV","NetworkHD 4-Input 4K60 Multiview Switcher","","NetworkHD 500","Multiview processor","AV-over-IP processing","high","NHD-0401-MV multiview processor"
"NHD-0401-MV","NetworkHD 4-Input 4K60 Multiview Switcher","NetworkHD AVoIP","NetworkHD 500","Multiview processor","AV-over-IP processing","high","NHD-0401-MV multiview processor"
"NHD-120-IW-TX","4K30Hz 2-Gang In-Wall Encoder","","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-120-IW-TX","4K30Hz 2-Gang In-Wall Encoder","NetworkHD AVoIP","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-120-RX","4K30Hz Decoder","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-120-RX","4K30Hz Decoder","NetworkHD AVoIP","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-120-TX","4K30Hz Encoder","","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-120-TX","4K30Hz Encoder","NetworkHD AVoIP","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-124-TX","4K30Hz Quad Encoder","","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-124-TX","4K30Hz Quad Encoder","NetworkHD AVoIP","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-140-RACK-1U","1U/2 Slot Rack Mount for NHD-140-TX &NHD-124-TX Quad Encoder","","NetworkHD 100","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-140-RACK-1U","1U/2 Slot Rack Mount for NHD-140-TX &NHD-124-TX Quad Encoder","Accessory","NetworkHD 100","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-150-RX","4K30Hz Decoder","","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-150-RX","4K30Hz Decoder","NetworkHD AVoIP","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-500-DNT-TX","4K60Hz 4:4:4 Encoder","","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-DNT-TX","4K60Hz 4:4:4 Encoder","NetworkHD AVoIP","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-E-RX","Lite 4K60Hz 4:4:4 Decoder","","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-E-RX","Lite 4K60Hz 4:4:4 Decoder","NetworkHD AVoIP","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-E-TX","Lite 4K60Hz 4:4:4 Encoder","","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-E-TX","Lite 4K60Hz 4:4:4 Encoder","NetworkHD AVoIP","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-IW-TX","4K60Hz 4:4:4 2-Gang In-Wall Encoder","","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-IW-TX","4K60Hz 4:4:4 2-Gang In-Wall Encoder","NetworkHD AVoIP","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-RX","4K60Hz 4:4:4 Decoder","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-500-RX","4K60Hz 4:4:4 Decoder","NetworkHD AVoIP","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-500-TX","4K60Hz 4:4:4 Encoder","","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-500-TX","4K60Hz 4:4:4 Encoder","NetworkHD AVoIP","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-510-TX","4K60Hz 4:4:4 Encoder","","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-510-TX","4K60Hz 4:4:4 Encoder","NetworkHD AVoIP","NetworkHD 500","AV-over-IP endpoint","AV-over-IP","high","NHD-5xx SKU pattern"
"NHD-600-TRX","4K60Hz 4:4:4 SDVoE Transceiver","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
