"sku","name","title","family","role","technologyType","hardwareType","productRole","catalogVisibility","roleCorrectionSource","description","features","featureTags","tags","capabilities","searchTerms","manualReviewNotes"
"OFFICE-KIT","WyreStorm FOCUS Webcam & HALO Speakerphone, Office Kits","WyreStorm FOCUS Webcam & HALO Speakerphone, Office Kits","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","camera-rule","Work efficiently at home or in meeting room with WyreStorm webcam speakerphone kit. Always look professional, hear and be heard clearly in your video conferencing.","Camera / Capture","Camera / Capture","Camera / Capture","Camera / Capture","OFFICE-KIT; WyreStorm FOCUS Webcam & HALO Speakerphone, Office Kits; Product; Primary hardware; Camera / Capture",
"PSU-12V-3A","External Universal 12W Power Supply - 12V 3A - WyreStorm","External Universal 12W Power Supply - 12V 3A - WyreStorm","Accessory","Power accessory / request-only","Accessory","Accessory","power-accessory","request-only","power-prefix","The PSU-12V-3A is a high-efficiency WyreStorm power supply accessory for all WyreStorm products that require 12V DC up to 36W. The DC plug includes WyreStorm's screw-lock secure connection. The product includes multiple IEC 60320 C7 line adapter cables for worldwide compatibility with power sockets.","Accessory","Accessory","Accessory","Accessory","PSU-12V-3A; External Universal 12W Power Supply - 12V 3A - WyreStorm; Accessory; Accessory / request-only; Power accessory / request-only",
"RX-35-POH","35m 4K HDBaseT Receiver - WyreStorm","35m 4K HDBaseT Receiver - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","Compact Class B HDBaseT receiver supporting 4K HDR transmissions up to 35 meters from a compatible HDBaseT matrix or presentation switcher. 2-way PoH allows the RX-35-POH to power over category cable from a PoH matrix or switcher and also allows for the receiver to power in-wall HDBaseT transmitters.","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","RX-35-POH; 35m 4K HDBaseT Receiver - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDBaseT; Extender / HDBaseT; Endpoint hardware",
"RX-500","35m 4K HDBaseT Receiver with USB - WyreStorm","35m 4K HDBaseT Receiver with USB - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","camera-rule","The little sibling to the RX-700, the RX-500 also utilizes HDBaseT 2.0 technology extending 4K video, USB 2.0, audio and control point to point up to 35m/115ft. The RX-500 still maintains the ability send HIDâ€™s and data back to the transmitter with USB 2.0 compatible devices such as HD webcams, smart white boards and data drives alike. Ideally suited for small meeting spaces and conference rooms, the RX-500 pairs perfectly with WyreStormâ€™s popular line of Presentation Solutions, such as the SW-130-TX or SW-510-TX t...","HDBaseT; USB; Camera / Capture","HDBaseT; USB; Camera / Capture","HDBaseT; USB; Camera / Capture","HDBaseT; USB; Camera / Capture","RX-500; 35m 4K HDBaseT Receiver with USB - WyreStorm; Product; Primary hardware; HDBaseT; USB; Camera / Capture",
"RX-70-4K","70m 4K HDBaseT Receiver - WyreStorm","70m 4K HDBaseT Receiver - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","The perfect complement to a WyreStorm HDBaseT&#x2122; matrix system, presentation switch or in-wall transmitter solution, the RX-70-4K ultra slim display receiver supports 4K UHD video with HDR up to 70m/230ft and 1080p to 100m/328ft.","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","RX-70-4K; 70m 4K HDBaseT Receiver - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDBaseT; Extender / HDBaseT; Endpoint hardware",
"RX-70-4K-ARC","70m 4K HDBaseT Receiver with ARC - WyreStorm","70m 4K HDBaseT Receiver with ARC - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","Free the audio from SmartTV on-demand content with the RX-70-4K-ARC HDBaseT receiver supporting ARC or optical audio return to enable digital audio to be sent back to a compatible WyreStorm HDBaseT transmission device, such as an H2 model matrix switcher.","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","RX-70-4K-ARC; 70m 4K HDBaseT Receiver with ARC - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDBaseT; Extender / HDBaseT; Endpoint hardware",
"RX-70-4K-SCL","70m 4K HDBaseT Scaling Receiver with Downscaling - WyreStorm","70m 4K HDBaseT Scaling Receiver with Downscaling - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","DISCONTINUED A vital addition to any HDBaseT distribution system, the RX-70-4K-SCL scales incoming video content to best suit the display device to which it is attached. This allows the best quality video content to be sent throughout the system, avoiding EDID clashes or older display technology compromising the rest of the system.","HDBaseT; Scaling; Extender / HDBaseT","HDBaseT; Scaling; Extender / HDBaseT","HDBaseT; Scaling; Extender / HDBaseT","HDBaseT; Scaling; Extender / HDBaseT","RX-70-4K-SCL; 70m 4K HDBaseT Scaling Receiver with Downscaling - WyreStorm; Product; Primary hardware; HDBaseT; Scaling; Extender / HDBaseT; Endpoint hardware",
"RX-700","100m 4K60 HDBaseT DSC Receiver with USB - WyreStorm","100m 4K60 HDBaseT DSC Receiver with USB - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","camera-rule","Utilizing the best in HDBaseT technology, the RX-700 extends 5-Play functionality to your display device over 100m/328ft of Cat6 cable. Using DSC (display stream compression) the RX-700 can support HDMI video up to 2160p 4:4:4 at 60Hz without any visual loss in quality or latency. With HIDâ€™s and data transfer in mind, the RX-700 supports data transmission of USB 2.0 devices like HD webcams, smart whiteboards and flash drives alike.","HDBaseT; USB; HDMI; Camera / Capture","HDBaseT; USB; HDMI; Camera / Capture","HDBaseT; USB; HDMI; Camera / Capture","HDBaseT; USB; HDMI; Camera / Capture","RX-700; 100m 4K60 HDBaseT DSC Receiver with USB - WyreStorm; Cable; Cable / request-only; HDBaseT; USB; HDMI; Camera / Capture; Primary hardware",
"RX3-100","4K HDR 4:4:4 60Hz HDBaseT3.0 Receiver with USB Device Inputs, Audio De-embed & PoH 100m/328ft over Cat6 - WyreStorm","4K HDR 4:4:4 60Hz HDBaseT3.0 Receiver with USB Device Inputs, Audio De-embed & PoH 100m/328ft over Cat6 - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","camera-rule","Introducing the RX3-100, an uncompressed 18G HDBaseT 3.0 receiver that achieves signal transmission up to 100m/328ft at 4K@60Hz via Cat.6A cable. With HDBaseT 3.0, experience USB data transfers of up to 300Mbps, nearly doubling HDBaseT 2.0's capability of 190Mbps. This heightened capacity supports high-speed connections to 4K webcams, whiteboards, and data drives. The RX3-100 seamlessly pairs with any of WyreStorm's HDBaseT 3.0 transmitter options, such as the SW-120-TX3 and SW-120-TX3-Ux for a powerful switching e...","HDBaseT; USB; Seamless Switching; Camera / Capture","HDBaseT; USB; Seamless Switching; Camera / Capture","HDBaseT; USB; Seamless Switching; Camera / Capture","HDBaseT; USB; Seamless Switching; Camera / Capture","RX3-100; 4K HDR 4:4:4 60Hz HDBaseT3.0 Receiver with USB Device Inputs, Audio De-embed & PoH 100m/328ft over Cat6 - WyreStorm; Cable; Cable / request-only; HDBaseT; USB; Seamless Switching; Camera / Capture; Primary hardware",
"RXF-300-4K","4K HDR 4:4:4 60Hz HDBaseT Receiver with 2-Way IR and PoH (4K: 35m/115ft) - WyreStorm","4K HDR 4:4:4 60Hz HDBaseT Receiver with 2-Way IR and PoH (4K: 35m/115ft) - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","DISCONTINUED Consumer HDMI content is now breaking through the once comfortable HDBaseT â€˜ceilingâ€™ of 10Gbps, with HFR (High Frame Rate). HDR is here already in the form of Blu-Ray, Satellite & Cable (HLG) and gaming content. The RXV-35-4K is the perfect companion for WyreStormâ€™s MXV line-up of matrices when distances of under 35 meters are required. This is the perfect solution for the TX-H2X-VLC modular card, found in the H2XC line.","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","RXF-300-4K; 4K HDR 4:4:4 60Hz HDBaseT Receiver with 2-Way IR and PoH (4K: 35m/115ft) - WyreStorm; Accessory; Accessory / request-only; HDBaseT; HDMI; Extender / HDBaseT; Endpoint hardware",
"RXV-35-4K","35m 4K60 HDBaseT Receiver for MXV - WyreStorm","35m 4K60 HDBaseT Receiver for MXV - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","Consumer HDMI content is now breaking through the once comfortable HDBaseT 'ceiling' of 10Gbps, with HFR (High Frame Rate). HDR is here already in the form of Blu-Ray, Satellite & Cable (HLG) and gaming content. The RXV-35-4K is the perfect companion for WyreStorm's MXV line-up of matrices when distances of under 35 meters are required. This is the perfect solution for the TX-H2X-VLC modular card, found in the H2XC line.","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","HDBaseT; HDMI; Extender / HDBaseT","RXV-35-4K; 35m 4K60 HDBaseT Receiver for MXV - WyreStorm; Accessory; Accessory / request-only; HDBaseT; HDMI; Extender / HDBaseT; Endpoint hardware",
"RXV-35-SCL","Scaling 35m 4K60 HDBaseT Receiver for MXV - WyreStorm","Scaling 35m 4K60 HDBaseT Receiver for MXV - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","18Gbps HDBaseT receiver for the standard MXV series matrix switchers. The RXV-35-SCL features a powerful scaler that can convert 4K UHD and HDR content to a 1080p non-HDR display to maximize compatibility. The receiver also features stereo and digital S/PDIF audio breakout for easy external audio distribution.","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","RXV-35-SCL; Scaling 35m 4K60 HDBaseT Receiver for MXV - WyreStorm; Matrix Switcher; Seamless scaling matrix switcher; Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT; Endpoint hardware",
"RXV-70-4K","70m 4K60 HDBaseT Receiver - WyreStorm","70m 4K60 HDBaseT Receiver - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","DISCONTINUED Consumer HDMI content is now breaking through the once comfortable HDBaseT 'ceiling' of 10Gbps, with HFR (High Frame Rate) HDR here already in the form of Blu-Ray, Satellite & Cable (HLG) and gaming content. WyreStorm's H2XC matrix platform is ready for this, with this receiver being the perfect match for the TX-H2X-VLC modular card, using our new light-compression transmission solution.","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","RXV-70-4K; 70m 4K60 HDBaseT Receiver - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT; Endpoint hardware",
"RXV-70-4K-ARC","70m 4K60 HDBaseT Receiver with ARC - WyreStorm","70m 4K60 HDBaseT Receiver with ARC - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","With high-framerate HDR-10 and HLG technology exceeding the capabilities of HDBaseT, WyreStorm has implemented light-compression technology. The RXV-70-4K-ARC forms part of this new generation of signal extension technology and furthermore, frees the 5.1 audio from an ARC compatible TV and sends back to an H2XC matrix over HDBaseT; an optical S/PDIF input is also present for sending digital audio signals.","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","Matrix; Switching; HDBaseT; Extender / HDBaseT","RXV-70-4K-ARC; 70m 4K60 HDBaseT Receiver with ARC - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDBaseT; Extender / HDBaseT; Endpoint hardware",
"RXV-70-4K-G2","70m 4K60 HDBaseT Receiver for MXV - WyreStorm","70m 4K60 HDBaseT Receiver for MXV - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","Consumer HDMI content is now breaking through the once comfortable HDBaseT â€˜ceilingâ€™ of 10Gbps, with HFR (High Frame Rate). HDR is here already in the form of Blu-Ray, Satellite & Cable (HLG) and gaming content. The RXV-70-4K-G2 is the perfect companion for WyreStormâ€™s MXV line-up of matrices also when distances of under 70 meters are required. This receiver is exclusively used for MXV-0606-H2A-70 & MXV-0808-H2A-70 Matrix solutions.","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT","RXV-70-4K-G2; 70m 4K60 HDBaseT Receiver for MXV - WyreStorm; Matrix Switcher; Matrix switcher; Matrix; Switching; HDBaseT; HDMI; Extender / HDBaseT; Endpoint hardware",
"RXV-70-G2-SCL","Scaling 70m 4K60 HDBaseT Receiver for MX - WyreStorm","Scaling 70m 4K60 HDBaseT Receiver for MX - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","18Gbps HDBaseT receiver for the MXV-70 matrix switcher series. The RXV-70-G2-SCL features a powerful scaler that can convert 4K UHD and HDR content to a 1080p non-HDR display to maximize compatibility. The receiver also features stereo and digital S/PDIF audio breakout for easy external audio distribution.","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT","RXV-70-G2-SCL; Scaling 70m 4K60 HDBaseT Receiver for MX - WyreStorm; Matrix Switcher; Seamless scaling matrix switcher; Matrix; Switching; HDBaseT; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Extender / HDBaseT; Endpoint hardware",
"SP-0102-H2","4K60 1:2 HDMI Splitter - WyreStorm","4K60 1:2 HDMI Splitter - WyreStorm","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","DISCONTINUED With support for 4K/HDR resolutions, HDCP 2.2, and HD multi-channel audio formats, this dual-output splitter allows for simple, reliable distribution of a single HDMI source to multiple duplicate displays. Additionally, the compact chassis makes it perfect for environments where unobtrusive installation is important.","HDMI; Splitter / Distribution","HDMI; Splitter / Distribution","HDMI; Splitter / Distribution","HDMI; Splitter / Distribution","SP-0102-H2; 4K60 1:2 HDMI Splitter - WyreStorm; Product; Primary hardware; HDMI; Splitter / Distribution",
"SP-0104-H2","4K HDMI Splitter â€“ High-Quality HDMI Signal Distribution","4K HDMI Splitter â€“ High-Quality HDMI Signal Distribution","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","4K HDMI Splitter for seamless signal distribution to multiple displays. Enjoy sharp, crisp visuals with easy setup for home or office use.","HDMI; Seamless Switching; Splitter / Distribution","HDMI; Seamless Switching; Splitter / Distribution","HDMI; Seamless Switching; Splitter / Distribution","HDMI; Seamless Switching; Splitter / Distribution","SP-0104-H2; 4K HDMI Splitter â€“ High-Quality HDMI Signal Distribution; Product; Primary hardware; HDMI; Seamless Switching; Splitter / Distribution",
"SP-0108-SCL","4K HDR 1:8 Splitter with Scaling Outputs - WyreStorm","4K HDR 1:8 Splitter with Scaling Outputs - WyreStorm","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","The SP-0108-SCL is a small and compact, yet powerful HDMI splitter that can be used in many applications, from digital signage, education, to retail or hospitality. Each HDMI output of the SP-0108-SCL features a 4K to 1080p down scaler, allowing for mixed resolution displays to be used simultaneously without suffering from compatibility limitations. An analog and digital S/PDIF audio de-embed allows easy connection for external amplifiers or DSPs.","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","SP-0108-SCL; 4K HDR 1:8 Splitter with Scaling Outputs - WyreStorm; Product; Primary hardware; HDMI; Scaling; Splitter / Distribution",
"SP-618","4K60 1:8 Scaling HDMI Splitter - WyreStorm","4K60 1:8 Scaling HDMI Splitter - WyreStorm","Splitter / Distribution","Primary hardware","Splitter / Distribution","Splitter / Distribution","primary-hardware","default","splitter-rule","DISCONTINUED The SP-618 is a simple yet powerful HDMI splitter that can be used in many applications from digital signage to retail or hospitality. Each HDMI output of the SP-618 features a 4K to 1080p down scaler, allowing for mixed resolution displays to be used simultaneously without suffering from compatibility limitations. A balanced analog and digital S/PDIF audio de-embed allows easy connection for external amplifiers or DSPs. With a 1U chassis, the SP-618 can be easily fitted in standard 19"" equipment racks...","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","HDMI; Scaling; Splitter / Distribution","SP-618; 4K60 1:8 Scaling HDMI Splitter - WyreStorm; Product; Primary hardware; HDMI; Scaling; Splitter / Distribution",
"SR-10G-MM-SFPP","10G SFP+ Multimode Transceiver - WyreStorm","10G SFP+ Multimode Transceiver - WyreStorm","Accessory","Accessory / request-only","Accessory","Accessory","accessory","request-only","accessory-prefix","The SR-10G-MM-SFPP is a hot-pluggable SFP+ optical transceiver module designed for high-performance, short-range data communication and interconnect applications. It supports 10.3125 Gbps data rate over multimode fiber at distances up to 300 meters using an 850nm VCSEL laser. Engineered for use in 10GBASE-SR Ethernet, data centers, and Fibre Channel systems, this transceiver ensures reliable performance, low power consumption, and full compatibility with industry standards.","Accessory","Accessory","Accessory","Accessory","SR-10G-MM-SFPP; 10G SFP+ Multimode Transceiver - WyreStorm; Accessory; Accessory / request-only",
"SR-1G-MM-SFP","1G SFP Multimode Transceiver - WyreStorm","1G SFP Multimode Transceiver - WyreStorm","Accessory","Accessory / request-only","Accessory","Accessory","accessory","request-only","accessory-prefix","The SR-1G-MM-SFP is a hot-pluggable, small form-factor pluggable (SFP) optical transceiver designed for short-range data communication over multimode fiber. Operating at 850nm with VCSEL laser technology, it delivers up to 1.25Gbps transmission rates and supports link distances up to 550 meters. This module is ideal for Gigabit Ethernet, Fibre Channel, and other optical networking applications requiring high performance, low power consumption, and digital diagnostics.","Accessory","Accessory","Accessory","Accessory","SR-1G-MM-SFP; 1G SFP Multimode Transceiver - WyreStorm; Accessory; Accessory / request-only",
"SW-0204-VW","4K60Hz 4-Output Video Wall Processor - WyreStorm","4K60Hz 4-Output Video Wall Processor - WyreStorm","Video Processor","Primary hardware","Video Wall / Multiview","Video Wall / Multiview","primary-hardware","default","exact-sku-override","The SW-0204-VW 4x HDMI 2.0 Video Wall processor is an advanced 2x inputs (alternative) and 4x outputs video wall processor, providing video wall layout of 1x4 and 2x2 (rows x columns) with 4K and ultra-wide resolution support, independent analog audio output and image scaling. It also supports a user-friendly Web-UI, RS232 and Telnet for optimal flexibility control.","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","SW-0204-VW; 4K60Hz 4-Output Video Wall Processor - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDMI; Scaling; Primary hardware; Video Wall / Multiview",
"SW-0206-VW","WyreStorm SW-0206-VW 4K60 Video Wall Processor","WyreStorm SW-0206-VW 4K60 Video Wall Processor","Video Processor","Primary hardware","Video Wall / Multiview","Video Wall / Multiview","primary-hardware","default","exact-sku-override","WyreStorm SW-0206-VW is a 4K60 video wall processor with 2 HDMI inputs, 6 outputs, scaling, ultra-wide support, and Web UI control. Ideal for signage, retail, and control rooms.","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","Video Wall; Processing; HDMI; Scaling; Video Wall / Multiview","SW-0206-VW; WyreStorm SW-0206-VW 4K60 Video Wall Processor; Video Processor; Video processing hardware; Video Wall; Processing; HDMI; Scaling; Primary hardware; Video Wall / Multiview",
"SW-120-TX3","Synergy 2-input 4K60Hz HDBaseT 3.0 Switching Transmitter with USB-C Charging and CEC Trigger - WyreStorm","Synergy 2-input 4K60Hz HDBaseT 3.0 Switching Transmitter with USB-C Charging and CEC Trigger - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","2 inputs and powerful HDBaseT 3.0 transmission result is this powerful switching transmitter, perfect for higher education classroom/lecture hall and corporate environments. Automatic or manual switching of HDMI or USB-C and CEC power triggering via HDBaseT means a simple user experience when it matters most. Further functionality allows USB devices to be routed back to the source via USB host (or natively via USB-C) alongside 3 additional USB device ports locally available for a total of 6 devices that can simulta...","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","SW-120-TX3; Synergy 2-input 4K60Hz HDBaseT 3.0 Switching Transmitter with USB-C Charging and CEC Trigger - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core; Primary hardware",
"SW-120-TX3-UK","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","2 inputs and powerful HDBaseT 3.0 transmission result is this powerful switching transmitter, perfect for higher education classroom/hall and corporate environments. Automatic or manual switching of HDMI or USB-C and CEC power triggering via HDBaseT means a simple user experience when it matters most. Further functionality allows USB devices to be routed back to the source via USB host (or natively via USB-C) and charging for the connected USB-C device.","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","SW-120-TX3-UK; Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core; Primary hardware",
"SW-120-TX3-US","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","2 inputs and powerful HDBaseT 3.0 transmission result is this powerful switching transmitter, perfect for higher education classroom/hall and corporate environments. Automatic or manual switching of HDMI or USB-C and CEC power triggering via HDBaseT means a simple user experience when it matters most. Further functionality allows USB devices to be routed back to the source via USB host (or natively via USB-C) and charging for the connected USB-C device.","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","SW-120-TX3-US; Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core; Primary hardware",
"SW-130-TX-UK","3-Input In-wall HDBaseT Transmitter (2-gang UK) - WyreStorm","3-Input In-wall HDBaseT Transmitter (2-gang UK) - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","3 inputs and powerful HDBaseT transmission result is this powerful switching transmitter, perfect for corporate meeting and classroom environments. Automatic or manual switching of 2 HDMIâ€™s or USB-C and CEC power triggering via HDBaseT mean a simple user experience when it matters most. Further functionality allows USB devices to be routed back to the source via USB host (or natively via USB-C) and charging for the connected USB-C device.","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","SW-130-TX-UK; 3-Input In-wall HDBaseT Transmitter (2-gang UK) - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core; Primary hardware",
