sku,product_name,family,product_type,role,lifecycle_status,do_not_spec,successor,inputs,outputs,transport_type,resolution_bandwidth,usb,audio,control,network_requirement,dependencies,compatible_families,application_fit,disqualifiers,quote_warnings,evidence_source,last_reviewed,reviewer
EXP-MX-0402-H2,WyreStorm Essentials 4K60 4x2 HDMI Matrix Switcher - WyreStorm,Matrix switching,WyreStorm Essentials 4K60 4x2 HDMI Matrix Switcher - WyreStorm,primary-hardware,review,false,,,,Matrix switching,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-MX-0404-H2,WyreStorm Essentials 4 Input and 4 Scaling Output 4K HDR HDMI Matrix Switcher W/ Digital S/PDIF Audio De-Embed - WyreStorm,Matrix switching,WyreStorm Essentials 4 Input and 4 Scaling Output 4K HDR HDMI Matrix Switcher W/ Digital S/PDIF Audio De-Embed - WyreStorm,primary-hardware,review,false,,,,Matrix switching,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-MX-0808-KIT,4K 8x8 HDBaseT Matrix with Receivers - WyreStorm,Matrix switching,4K 8x8 HDBaseT Matrix with Receivers - WyreStorm,primary-hardware,review,false,,,,Matrix switching,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SP-0102-8K,WyreStorm Essentials 8K60 1:2 HDMI Splitter - WyreStorm,General AV,WyreStorm Essentials 8K60 1:2 HDMI Splitter - WyreStorm,primary-hardware,review,false,,,,General AV,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SP-0102-H2,WyreStorm Essentials 4K60 1:2 Scaling HDMI Splitter - WyreStorm,General AV,WyreStorm Essentials 4K60 1:2 Scaling HDMI Splitter - WyreStorm,primary-hardware,review,false,,,,General AV,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SP-0104-H2,WyreStorm Essentials 4K60 1:4 Scaling HDMI Splitter - WyreStorm,General AV,WyreStorm Essentials 4K60 1:4 Scaling HDMI Splitter - WyreStorm,primary-hardware,review,false,,,,General AV,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SW-0201-8K,8K60Hz 4:4:4 2x1 HDMI Switcher,Presentation switcher,8K60Hz 4:4:4 2x1 HDMI Switcher,primary-hardware,review,false,,,,Presentation switcher,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SW-0401-8K,8K60Hz 4:4:4 4x1 HDMI Switcher,Presentation switcher,8K60Hz 4:4:4 4x1 HDMI Switcher,primary-hardware,review,false,,,,Presentation switcher,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
EXP-SW-0401-H2,4K60Hz 4:4:4 4x1 HDMI Switcher,Presentation switcher,4K60Hz 4:4:4 4x1 HDMI Switcher,primary-hardware,review,false,,,,Presentation switcher,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-100,1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam,Camera / capture,1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam,primary-hardware,review,false,,,,Camera / capture,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-180A,4K Autofocus AI Webcam w/ Auto Framing & Presenter Tracking,Camera / capture,4K Autofocus AI Webcam w/ Auto Framing & Presenter Tracking,primary-hardware,review,false,,,,Camera / capture,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-200,Zoom-Certified 4K Webcam | WyreStorm FOCUS 200 Ultra HD Wide-Angle,Camera / capture,Zoom-Certified 4K Webcam | WyreStorm FOCUS 200 Ultra HD Wide-Angle,primary-hardware,review,false,,,,Camera / capture,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-200-PRO,4K Wide Angle Webcam - High-Quality Video for Streaming,Camera / capture,4K Wide Angle Webcam - High-Quality Video for Streaming,primary-hardware,review,false,,,,Camera / capture,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
FOCUS-210,AI webcam - 4K Ultra-Wide Angle Webcam | WyreStorm,Camera / capture,AI webcam - 4K Ultra-Wide Angle Webcam | WyreStorm,primary-hardware,review,false,,,,Camera / capture,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-30,Halo 30 Professional USB Conference Speakerphone | WyreStorm,Audio / UC,Halo 30 Professional USB Conference Speakerphone | WyreStorm,primary-hardware,review,false,,,,Audio / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-60,USB Bluetooth Speakerphone by Wyrestom,Audio / UC,USB Bluetooth Speakerphone by Wyrestom,primary-hardware,review,false,,,,Audio / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-80,Plug and Play Portable USB and Bluetooth Conference Speakerphone - WyreStorm,Audio / UC,Plug and Play Portable USB and Bluetooth Conference Speakerphone - WyreStorm,primary-hardware,review,false,,,,Audio / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-90,WyreStorm Halo 90 USB-C Docking Conference Speakerphone,Audio / UC,WyreStorm Halo 90 USB-C Docking Conference Speakerphone,primary-hardware,review,false,,,,Audio / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-COM-MIC,Add-On Microphone for Halo Video Bar - WyreStorm,Audio / UC,Add-On Microphone for Halo Video Bar - WyreStorm,accessory,review,false,,,,Audio / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-VX10-V1,"WyreStorm Video Bar w/ 4K Camera, Stereo Speaker & Mic",Audio / UC,"WyreStorm Video Bar w/ 4K Camera, Stereo Speaker & Mic",primary-hardware,review,false,,,,Audio / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-VX10-V2,HALO Video Bar mini,UC / conferencing,HALO Video Bar mini,primary-hardware,review,false,,,,UC / conferencing,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
HALO-WFA-130,1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam,Camera / capture,1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam,primary-hardware,review,false,,,,Camera / capture,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
