"Selector","Occurrences","Files"
".wm-reference-dashboard-rail","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css"
"[class*=""stepper""]","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-discovery-question-layout","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""data-manager""] .wm-data-quality-metrics","4","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""discovery""] .wm-discovery-step-pill","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-template-card","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-card","4","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-pitch-page-open :is(.wm-product-pitch-empty-state","4","src\wingman2\styles\wingman-style-stack.css"
".wm-button","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-topbar-page-label","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host.wingman-page-host .wm-navhub-page.wm-polish-shell .wm-polish-grid > .wm-navhub-card.wm-polish-card > .wm-polish-card-art.wm-polish-card-art.wm-polish-card-art","4","src\wingman2\styles\wingman-polish-navigation.css"
".wm-template-card[data-template-staged=""true""] [data-template-staged-pill=""true""]","4","src\wingman2\styles\wingman-style-stack.css"
".compare-native-input","4","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"[aria-label*=""Manufacturer""]","4","src\wingman2\styles\wingman-style-stack.css"
"[aria-label*=""Brand""]","4","src\wingman2\styles\wingman-style-stack.css"
".bg-slate-50","4","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-finder-active .finder-stepper","4","src\wingman2\styles\wingman-style-stack.css"
".wm-panel","4","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"[class*=""footer""]","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-nav-tooltip","4","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-card-eyebrow","4","src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-finder-active .finder-size-grid","4","src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-finder-active .finder-signal-grid","4","src\wingman2\styles\wingman-style-stack.css"
".wm-template-detail-actions button","4","src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-hero","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] main.wm-dashboard-shell.wm-dashboard-visual-root","4","src\wingman2\styles\wingman-style-stack.css"
"main.wm-dashboard-shell.wm-dashboard-visual-root[data-wingman-page=""home""]","4","src\wingman2\styles\wingman-style-stack.css"
"dd","4","src\wingman2\styles\wingman-style-stack.css"
"main.wm-dashboard-shell[data-wingman-page=""home""] > aside.wm-dashboard-rail","4","src\wingman2\styles\wingman-style-stack.css"
".wm-support-landing__hero )","4","src\wingman2\styles\wingman-style-stack.css"
"html body [data-wingman-product-tool-card=""true""] [data-wingman-product-tool-art=""true""] svg","4","src\wingman2\styles\wingman-product-tools-visual-weight.css"
"html[data-wingman-route] .wm-vs-canvas","4","src\wingman2\styles\wingman-style-stack.css"
".wm-polish-shell .wm-polish-grid > .wm-polish-card","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
"html[data-wingman-route=""data-manager""] .wm-data-tabs","4","src\wingman2\styles\wingman-workflow-theme.css"
"@media (max-width: 700px)","4","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route] .wm-vs-right-rail","4","src\wingman2\styles\wingman-style-stack.css"
".wm-polish-shell .wm-polish-grid-secondary","4","src\wingman2\styles\wingman-polish-navigation.css"
