"Path","KB","Lines","ImportantRules","RootBlocks","SelectionRules","MediaBlocks"
"archive\_wingman_backup_guru_20260614-050537\src\wingman2\styles\wingman-style-stack.css","699.64","22935","7352","6","0","156"
"archive\_wingman_backup_compare_layout_reset_20260613-211633\src\wingman2\styles\wingman-style-stack.css","698.98","22831","7370","6","0","157"
"archive\_wingman_backup_compare_direct_workflow_refine_20260613-215256\src\wingman2\styles\wingman-style-stack.css","698.27","22870","7352","6","0","156"
"archive\_wingman_backup_wireless_compare_intelligence_20260613-211150\src\wingman2\styles\wingman-style-stack.css","695.87","22699","7365","6","0","156"
"archive\_wingman_backup_replace_compare_page_20260613-214821\src\wingman2\styles\wingman-style-stack.css","694.18","22677","7360","6","0","155"
"archive\_wingman_backup_compare_ui_polish_20260613-204505\src\wingman2\styles\wingman-style-stack.css","694.04","22647","7350","6","0","155"
"archive\_wingman_backup_simplify_compare_results_20260613-210000\src\wingman2\styles\wingman-style-stack.css","694.04","22647","7350","6","0","155"
"archive\_wingman_backup_remove_compare_matrix_clean_20260613-214621\src\wingman2\styles\wingman-style-stack.css","693.98","22672","7359","6","0","155"
"archive\_wingman_backup_hide_legacy_compare_matrix_20260613-203206\src\wingman2\styles\wingman-style-stack.css","692.73","22619","7349","6","0","155"
".wingman-backups\guidance-card-encoding-v2-20260710-215719\wingman-style-stack.css","684.95","22673","6617","5","3","147"
".wingman-backups\templates-action-placement-20260710-215328\wingman-style-stack.css","683.67","22615","6617","5","3","146"
".wingman-backups\templates-page-refocus-20260710-214915\wingman-style-stack.css","683.67","22615","6617","5","3","146"
".wingman-backups\templates-page-refocus-20260710-214845\wingman-style-stack.css","681.06","22495","6616","5","3","144"
".wingman-backups\app-style-consistency-20260710-213625\wingman-style-stack.css","670.21","21981","6591","4","3","141"
".wingman-backups\templates-products-header-20260710-221014\wingman-style-stack.css","643.31","22879","6732","5","3","150"
".wingman-backups\templates-products-header-20260710-221048\wingman-style-stack.css","643.31","22879","6732","5","3","150"
".wingman-backups\templates-products-header-v2-20260710-221218\wingman-style-stack.css","643.31","22879","6732","5","3","150"
".wingman-backups\templates-products-header-20260710-220858\wingman-style-stack.css","640.42","22781","6671","5","3","149"
".wingman-backups\templates-products-header-v2-20260710-221252\wingman-style-stack.css","640.02","22772","6679","5","3","148"
".wingman-backups\guidance-card-encoding-v2-20260710-215919\wingman-style-stack.css","637.1","22673","6617","5","3","147"
".wingman-backups\templates-hero-compact-20260710-220534\wingman-style-stack.css","637.1","22673","6617","5","3","147"
".wingman-backups\guidance-card-encoding-v2-20260710-215834\wingman-style-stack.css","637.1","22673","6617","5","3","147"
"archive\backups\dpr-aware-viewport-scaling-2026-06-08_12-41-13\src\wingman2\styles\wingman-style-stack.css","633.5","20672","7020","6","0","147"
"archive\backups\wingman-single-screen-fit-2026-06-08_12-28-23\src\wingman2\styles\wingman-style-stack.css","631.16","20595","7009","6","0","147"
"archive\backups\wingman-single-screen-fit-2026-06-08_12-29-10\src\wingman2\styles\wingman-style-stack.css","631.16","20595","7009","6","0","147"
"archive\backups\real-canvas-viewport-scaling-2026-06-08_12-36-23\src\wingman2\styles\wingman-style-stack.css","631.16","20595","7009","6","0","147"
"archive\backups\wingman-single-screen-fit-2026-06-08_12-12-34\src\wingman2\styles\wingman-style-stack.css","621.08","20203","6955","5","0","146"
"archive\backups\product-call-cards-phase1d-language-level-2026-06-07-20-45-47\src\wingman2\styles\wingman-style-stack.css","617.94","20138","6942","5","0","145"
"archive\backups\product-call-cards-phase1c-product-dashboard-2026-06-07-20-22-17\src\wingman2\styles\wingman-style-stack.css","614.88","19992","6942","5","0","143"
"archive\backups\product-call-cards-phase1b-2026-06-07-20-15-24\src\wingman2\styles\wingman-style-stack.css","613.87","19945","6941","5","0","141"
"archive\backups\product-call-cards-phase1a-2026-06-07-20-08-19\src\wingman2\styles\wingman-style-stack.css","613.02","19902","6941","5","0","140"
"archive\backups\product-call-cards-phase1-2026-06-07-19-46-38\src\wingman2\styles\wingman-style-stack.css","607.26","19601","6941","5","0","139"
"backups\product-pitch-workspace-flow-20260711-071314\wingman-style-stack.css","543.29","18037","4998","4","3","115"
