"Path","Extension","Lines","KB"
".wingman-backups\templates-action-placement-20260710-215328\wingman-style-stack.css",".css","22615","683.67"
".wingman-backups\templates-page-refocus-20260710-214915\wingman-style-stack.css",".css","22615","683.67"
".wingman-backups\templates-page-refocus-20260710-214845\wingman-style-stack.css",".css","22495","681.06"
"reports\product-classification-audit-v2-2026-06-18T20-17-06-901Z.json",".json","22065","1851.01"
".wingman-backups\app-style-consistency-20260710-213625\wingman-style-stack.css",".css","21981","670.21"
"public\product-call-card-products.json",".json","21723","1003.8"
"archive\backups\dpr-aware-viewport-scaling-2026-06-08_12-41-13\src\wingman2\styles\wingman-style-stack.css",".css","20672","633.5"
"archive\backups\wingman-single-screen-fit-2026-06-08_12-28-23\src\wingman2\styles\wingman-style-stack.css",".css","20595","631.16"
"archive\backups\real-canvas-viewport-scaling-2026-06-08_12-36-23\src\wingman2\styles\wingman-style-stack.css",".css","20595","631.16"
"archive\backups\wingman-single-screen-fit-2026-06-08_12-29-10\src\wingman2\styles\wingman-style-stack.css",".css","20595","631.16"
"archive\backups\wingman-single-screen-fit-2026-06-08_12-12-34\src\wingman2\styles\wingman-style-stack.css",".css","20203","621.08"
"archive\backups\product-call-cards-phase1d-language-level-2026-06-07-20-45-47\src\wingman2\styles\wingman-style-stack.css",".css","20138","617.94"
"archive\backups\product-call-cards-phase1c-product-dashboard-2026-06-07-20-22-17\src\wingman2\styles\wingman-style-stack.css",".css","19992","614.88"
"archive\backups\product-call-cards-phase1b-2026-06-07-20-15-24\src\wingman2\styles\wingman-style-stack.css",".css","19945","613.87"
"archive\backups\product-call-cards-phase1a-2026-06-07-20-08-19\src\wingman2\styles\wingman-style-stack.css",".css","19902","613.02"
"archive\backups\product-call-cards-phase1-2026-06-07-19-46-38\src\wingman2\styles\wingman-style-stack.css",".css","19601","607.26"
"backups\product-pitch-workspace-flow-20260711-071314\wingman-style-stack.css",".css","18037","543.29"
"backups\product-pitch-viewport-final-20260711-065855\wingman-style-stack.css",".css","17986","541.62"
"backups\product-pitch-viewport-balance-20260711-065406\wingman-style-stack.css",".css","17952","540.71"
"backups\product-pitch-bottom-layout-20260711-064913\wingman-style-stack.css",".css","17948","540.65"
"backups\product-pitch-viewport-20260711-064326\wingman-style-stack.css",".css","17858","538.1"
"backups\product-pitch-overflow-20260711-063831\wingman-style-stack.css",".css","17823","536.09"
"backups\product-pitch-selector-20260711-061121\wingman-style-stack.css",".css","17697","532.75"
"backups\product-call-cards-layout-20260711-063325\wingman-style-stack.css",".css","17697","532.75"
"backups\visual-studio-connectivity-layout-fix-20260712-130000\src\wingman2\styles\wingman-style-stack.css",".css","16233","1131.36"
"backups\visual-studio-viewport-fix-20260712-124259\src\wingman2\styles\wingman-style-stack.css",".css","16147","1128.86"
"backups\visual-studio-fit-header-fix-20260712-124959\src\wingman2\styles\wingman-style-stack.css",".css","16147","1128.86"
"backups\visual-studio-viewport-fix-20260712-123926\src\wingman2\styles\wingman-style-stack.css",".css","16044","1125.86"
"backups\visual-studio-viewport-fix-20260712-123722\src\wingman2\styles\wingman-style-stack.css",".css","16044","1125.86"
".wingman-backups\visual-studio-background-20260712-112955\wingman-style-stack.css",".css","16008","1124.78"
".wingman-backups\dashboard-guru-20260712-092537\src\wingman2\styles\wingman-style-stack.css",".css","15996","461.7"
".wingman-backups\visual-studio-edges-20260712-111550\wingman-style-stack.css",".css","15967","1123.61"
".wingman-backups\dashboard-guru-20260712-092949\src\wingman2\styles\wingman-style-stack.css",".css","15800","489.64"
"public\product-media-index.json",".json","13959","628.35"
"data\governance\wyrestorm-technical-profiles.json",".json","13365","453.86"
"data\wingman-source-pdf-intelligence.json",".json","12731","260.4"
"archive\_wingman_backup_pre_compare_cleanup_20260614-083913\package-lock.json",".json","12167","355.5"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_class_gate_20260704-205242\data\catalog\competitor-products.generated.json",".json","11495","291.87"
"package-lock.json",".json","11225","387.55"
".wingman-work\backups\20260811-125821\package-lock.json",".json","11225","387.55"
".wingman-work\backups\20260811-125346\package-lock.json",".json","11225","387.55"
".wingman-work\backups\20260811-125215\package-lock.json",".json","11225","387.55"
"reports\wingman-data-source-audit.json",".json","9466","285.33"
"public\product-call-card-practical-copy-audit.json",".json","8063","654.38"
"data\product-intelligence-db.json",".json","7674","210.13"
"reports\wingman-product-intelligence-audit.json",".json","6208","216.84"
".wingman-work\backups\20260811-125215\src\wingman2\pages\ComparePageNew.advanced.tsx",".tsx","6047","254.66"
".wingman-work\backups\20260811-125346\src\wingman2\pages\ComparePageNew.advanced.tsx",".tsx","6047","254.66"
".wingman-work\backups\20260811-125821\src\wingman2\pages\ComparePageNew.advanced.tsx",".tsx","6047","254.66"
"src\wingman2\pages\ComparePageNew.advanced.tsx",".tsx","6047","254.66"
"src\wingman2\styles\wingman-workflow-theme.css",".css","5858","245.48"
"reports\wingman-product-technical-spec-completeness-audit.json",".json","5299","154.48"
"reports\wingman-competitor-technical-spec-completeness-audit.json",".json","5079","133.51"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_apo_dg2_dependency_rule_20260706-112917\src\wingman2\pages\ComparePageNew.advanced.tsx",".tsx","4966","218.48"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_class_gate_20260704-205242\data\catalog\competitor-catalog.phase4.json",".json","4560","133.14"
"data\catalog\competitor-catalog.phase4.json",".json","4560","151.56"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-workflow-theme.css",".css","4535","168.25"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-workflow-theme.css",".css","4535","168.25"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-workflow-theme.css",".css","4535","168.25"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_apo_dg2_dependency_rule_20260706-112917\src\wingman2\pages\FinderPage.tsx",".tsx","3973","152.62"
"_backups\retire-finder-feature-sweep-v5-20260720-085648\files\src\wingman2\pages\FinderPage.tsx",".tsx","3919","151.37"
"_backups\retire-finder-feature-sweep-v4-20260720-085242\files\src\wingman2\pages\FinderPage.tsx",".tsx","3919","151.37"
".wingman-work\backups\20260811-125346\src\wingman2\data\productStories.ts",".ts","3918","437.13"
".wingman-work\backups\20260811-125821\src\wingman2\data\productStories.ts",".ts","3918","437.13"
".wingman-work\backups\20260811-125215\src\wingman2\data\productStories.ts",".ts","3918","437.13"
"src\wingman2\data\productStories.ts",".ts","3918","437.13"
"_backups\discovery-finder-handoff-v2-20260720-075526\FinderPage.tsx",".tsx","3892","150.6"
"_backups\discovery-finder-handoff-v3-20260720-080002\FinderPage.tsx",".tsx","3892","150.6"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_apo_dg2_dependency_rule_20260706-112917\src\wingman2\data\productStories.ts",".ts","3750","414.21"
"public\product-call-card-targeted-questions-audit.json",".json","3684","174.63"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_visual_utility_migration_20260630-082229\src\wingman2\pages\ComparePageNew.tsx",".tsx","3674","170.51"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_auto_identify_20260701-163338\src\wingman2\pages\ComparePageNew.tsx",".tsx","3674","170.51"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_page_markup_migration_20260630-074900\src\wingman2\pages\ComparePageNew.tsx",".tsx","3674","168.32"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_visual_utility_migration_20260630-082229\src\wingman2\pages\FinderPage.tsx",".tsx","3386","137.26"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_page_markup_migration_20260630-074900\src\wingman2\pages\FinderPage.tsx",".tsx","3386","135.24"
".wingman-work\backups\20260811-125215\src\wingman2\lib\roomTemplates.ts",".ts","3283","178.8"
